method,num_threads,items,population,heavy,time (ns)
orx-rayon,28,100,10000,false,426534615
orx-rayon,28,100,10000,true,463095698
orx-rayon,28,100,50000,false,1603762817
orx-rayon,28,100,50000,true,1663765489
orx-rayon,32,50,10000,false,320885950
orx-rayon,32,50,10000,true,350772951
orx-rayon,32,50,50000,false,706997913
orx-rayon,32,50,50000,true,788507828
orx-rayon,32,100,10000,false,468847410
orx-rayon,32,100,10000,true,488551750
orx-rayon,32,100,50000,false,1574797808
orx-rayon,32,100,50000,true,1407446903
